level_0,index,rank,title,studio,total_gross,gross,theaters,release_date,year,genres
0,0,1,Bad Boys for Life,Sony Pictures,"$206,305,244","$204,417,855","3,775",Jan 17,2020,"Action, Comedy, Crime            "
1,1,2,1917,Universal Pictures,"$159,227,644","$157,901,466","3,987",Dec 25,2020,"Drama, War            "
2,2,3,Sonic the Hedgehog,Paramount Pictures,"$146,066,470","$146,066,470","4,198",Feb 14,2020,"Action, Adventure, Comedy            "
3,3,4,Jumanji: The Next Level,Sony Pictures,"$320,314,960","$124,736,710","4,227",Dec 13,2020,"Action, Adventure, Comedy            "
4,4,5,Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios Motion Pictures,"$515,202,542","$124,496,308","4,406",Dec 20,2020,"Action, Adventure, Fantasy            "
5,5,6,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Warner Bros.,"$84,158,461","$84,158,461","4,236",Feb 7,2020,"Action, Adventure, Comedy            "
6,6,7,Dolittle,Universal Pictures,"$77,047,065","$77,047,065","4,155",Jan 17,2020,"Adventure, Comedy, Family            "
7,7,8,Little Women,Sony Pictures,"$108,101,214","$70,508,087","3,308",Dec 25,2020,"Drama, Romance            "
8,8,9,The Invisible Man,Universal Pictures,"$70,410,000","$64,914,050","3,636",Feb 28,2020,"Drama, Horror, Mystery            "
9,9,10,The Call of the Wild,20th Century Studios,"$62,342,368","$62,342,368","3,914",Feb 21,2020,"Adventure, Drama, Family            "
10,10,11,Onward,Walt Disney Studios Motion Pictures,"$61,555,145","$61,555,145","4,310",Mar 6,2020,"Animation, Adventure, Comedy            "
11,11,12,Knives Out,Lionsgate,"$165,363,234","$49,651,655","3,461",Nov 27,2020,"Comedy, Crime, Drama            "
12,12,13,Frozen II,Walt Disney Studios Motion Pictures,"$477,373,578","$47,228,896","4,440",Nov 22,2020,"Animation, Adventure, Comedy            "
13,13,14,Tenet,Warner Bros.,"$57,600,000","$46,190,000","2,930",Sep 3,2020,"Action, Sci-Fi            "
14,14,15,Spies in Disguise,Twentieth Century Fox,"$66,757,013","$37,433,325","3,502",Dec 25,2020,"Animation, Action, Adventure            "
15,15,16,The Gentlemen,STX Entertainment,"$36,471,795","$36,471,397","2,675",Jan 24,2020,"Action, Comedy, Crime            "
16,16,17,Just Mercy,Warner Bros.,"$36,001,502","$35,733,621","2,457",Dec 25,2020,"Biography, Crime, Drama            "
17,17,18,Parasite,Neon,"$53,369,749","$30,736,060","2,001",Oct 11,2020,"Comedy, Drama, Thriller            "
18,18,19,Fantasy Island,Sony Pictures,"$27,309,289","$26,441,782","2,784",Feb 14,2020,"Action, Adventure, Fantasy            "
19,19,20,Uncut Gems,A24,"$50,023,780","$25,789,956","2,686",Dec 13,2020,"Crime, Drama, Thriller            "
20,20,21,The Croods: A New Age,Universal Pictures,"$24,310,640","$24,310,640","2,211",Nov 25,2020,"Animation, Adventure, Comedy            "
21,21,22,The New Mutants,20th Century Studios,"$23,845,088","$23,845,088","2,754",Aug 28,2020,"Action, Horror, Sci-Fi            "
